player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Mattia Bellucci;2,9;17,02;65;;;ITA;128;128;128;35;1729,6;1675,3;1814,3;0,5;0,5555555555555556;0,6;2,4176567969149274;1063,0;0,0;0,0;262
Jaime Faria;2,5;16,34;66;;Q;POR;128;128;128;46;1696,2;1604,3;1718,2;0,75;0,5;0,1052631578947368;0,2125351969753989;689,0;0,35;0,0;152
Lorenzo Sonego;4,3;15,91;67;;;ITA;128;128;128;52;1714,9;1634,9;1895,3;0,25;0,4;0,5;1,6183297977784603;679,0;-0,0299999999999999;0,0;307
Fabian Marozsan;4,0;15,65;68;;;HUN;128;128;128;22;1751,5;1585,2;1867,2;0,5;0,6666666666666666;0,6666666666666666;1,3267724376162862;583,0;0,0499999999999999;0,0;248
Adrian Mannarino;2,2;15,49;69;;;FRA;128;128;128;34;1679,6;1667,4;1896,3;0,3333333333333333;0,5714285714285714;0,6363636363636364;1,9778113743487613;854,0;0,0;0,0;328
Mackenzie Mcdonald;1,0;15,39;70;;Q;USA;128;128;128;50;1618,2;1547,5;1847,6;0,25;0,4;0,7142857142857143;0,3009479205730174;509,0;0,3;0,0;325
Daniel Merida Aguilar;1,0;15,31;71;;;ESP;128;128;128;15;1741,7;1555,8;1798,1;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;0
Pablo Carreno Busta;3,1;15,23;72;;;ESP;128;128;128;6;1800,5;1598,0;2005,1;0,6666666666666666;0,0;0,0;-0,0025607137723476;563,0;0,0;0,0;252
Titouan Droguet;1,0;15,01;73;;;FRA;128;128;128;34;1717,5;1630,5;1736,6;0,5833333333333334;0,75;0,3333333333333333;0,3716666666666666;403,0;0,075;0,0;231
Sebastian Baez;3,4;14,95;74;;;ARG;128;128;128;14;1759,5;1546,2;1941,4;0,5833333333333334;0,0;0,0;0,0526402943466763;622,0;0,0;0,0;341
Ethan Quinn;2,3;14,84;75;;;USA;128;128;128;8;1775,5;1656,4;1842,9;0,5;0,8;0,4545454545454545;1,6003698743171944;758,0;0,09;0,0;188
Camilo Ugo Carabelli;3,9;13,38;76;;;ARG;128;128;128;15;1759,2;1496,2;1771,9;0,5;0,0;0,0;-0,2155978398252669;189,0;0,0;0,0;350
Marcos Giron;2,0;13,28;77;;;USA;128;128;128;62;1736,0;1659,7;1874,1;0,3333333333333333;0,375;0,5;2,9918181910875328;1041,0;-0,05;0,0;318
Aleksandar Vukic;1,0;13,1;78;;;AUS;128;128;128;3;1623,5;1578,6;1773,3;0,5;0,5714285714285714;0,5384615384615384;1,1828966127443938;605,0;0,0299999999999999;0,0;354
Patrick Kypson;1,6;12,82;79;;;USA;128;128;128;50;1640,5;1482,5;1732,4;0,3333333333333333;0,0;0,0;-0,3;0,0;0,0;0,0;179
Shintaro Mochizuki;1,0;12,8;80;;Q;JPN;128;128;128;7;1485,4;1524,9;1714,9;0,3333333333333333;0,4;0,625;0,432183812400275;544,0;0,35;0,0;264
Alexander Blockx;4,7;12,2;81;;;BEL;128;128;128;64;1905,5;1697,8;1907,2;0,6666666666666666;0,0;0,0;-0,3;0,0;0,0;0,0;173
Jan Choinski;1,0;11,44;82;;;GBR;128;128;128;54;1635,6;1433,7;1669,3;0,6666666666666666;0,8;0,217391304347826;3,22762506570015;1261,0;0,0499999999999999;1,0;250
Marin Cilic;3,8;11,38;83;;;CRO;128;128;128;16;1800,4;1756,3;2100,4;0,4166666666666667;0,5;0,5714285714285714;0,455005521354641;652,0;0,0;0,0;205
Quentin Halys;3,1;11,14;84;;;FRA;128;128;128;61;1715,2;1627,6;1811,4;0,5;0,25;0,3636363636363636;0,9372588722903004;652,0;-0,075;0,0;352
Emilio Nava;2,1;10,93;85;;;USA;128;128;128;4;1700,2;1573,9;1738,2;0,75;0,0;0,0476190476190476;0,6304229868813995;681,0;-0,05;0,0;314
Jack Draper;1,0;10,69;86;;;GBR;128;128;128;49;1807,8;1653,9;2103,8;0,6;1,0;1,0;0,7400480764286423;244,0;0,15;1,0;242
Gabriel Diallo;4,1;10,59;87;;;CAN;128;128;128;51;1692,5;1627,7;1889,2;0,25;0,4;0,8333333333333334;2,2834920489552224;676,0;-0,0299999999999999;0,0;243
Jesper De Jong;2,0;10,19;88;;;NED;128;128;128;27;1707,0;1534,5;1741,0;0,75;0,0;0,0;0,8083498655081931;1262,0;0,1;0,0;308
Sebastian Ofner;1,6;10,01;89;;;AUT;128;128;128;10;1713,1;1635,2;1812,7;0,5;0,0;0,0;1,0829166666666663;727,0;0,09;0,0;295
Daniel Altmaier;4,6;9,96;90;;;GER;128;128;128;58;1736,3;1618,8;1789,1;0,5833333333333334;0,5714285714285714;0,4666666666666667;1,9710099071481255;1009,0;0,0499999999999999;0,0;368
Hubert Hurkacz;5,6;9,75;91;;;POL;128;128;128;9;1798,2;1699,9;2022,5;0,5;0,3333333333333333;0,2727272727272727;0,4001579409813965;603,0;-0,05;0,0;306
Zizou Bergs;4,3;9,74;92;;;BEL;128;128;128;45;1748,0;1618,7;1859,2;0,5833333333333334;0,6;0,3846153846153846;1,1009090256450906;510,0;0,0299999999999999;0,0;332
Vilius Gaubas;1,0;9,47;93;;Q;LTU;128;128;128;55;1569,3;1523,4;1718,5;0,4166666666666667;0,0;0,0;-0,1183736732964103;242,0;0,1999999999999999;0,0;163
Harry Wendelken;1,0;9,29;94;;WC;GBR;128;128;128;63;1594,9;1505,4;1641,5;0,3333333333333333;0,4285714285714285;0,7;1,370001242206662;776,0;0,02;1,0;55
Soon Woo Kwon;1,0;8,89;95;;Q;KOR;128;128;128;11;1744,9;1589,2;1830,7;0,0;0,0;0,0;-0,3;0,0;0,35;0,0;0
Damir Dzumhur;2,4;8,85;96;;;BIH;128;128;128;47;1627,0;1526,8;1895,8;0,4166666666666667;0,6666666666666666;0,25;0,9294972075901212;660,0;0,0;0,0;369
Luca Van Assche;1,0;8,63;97;;;FRA;128;128;128;23;1700,7;1555,2;1801,5;0,5833333333333334;0,0;0,0;1,4342257490482473;1121,0;0,1;0,0;297
Juan Manuel Cerundolo;4,8;7,99;98;;;ARG;128;128;128;21;1778,7;1506,7;1788,7;0,8333333333333334;0,6666666666666666;0,2;1,3890196203844214;1203,0;0,0499999999999999;0,0;369
Roberto Bautista Agut;1,3;7,83;99;;;ESP;128;128;128;28;1700,2;1661,8;2033,8;0,3333333333333333;0,3333333333333333;0,2727272727272727;0,1483694507295037;404,0;-0,05;0,0;290
Aleksandar Kovacevic;3,0;7,55;100;;;USA;128;128;128;26;1645,3;1490,5;1758,8;0,4166666666666667;0,2;0,2631578947368421;0,8724716477782677;515,0;-0,09;0,0;311
Adam Walton;3,4;7,31;101;;;AUS;128;128;128;18;1691,8;1497,8;1747,1;0,75;0,6;0,25;1,9566522416768632;1307,0;0,0299999999999999;0,0;243
Otto Virtanen;1,0;7,18;102;;Q;FIN;128;128;128;48;1719,0;1694,2;1768,8;0,6666666666666666;0,7272727272727273;0,7857142857142857;1,0220739990127814;1132,0;0,3999999999999999;0,0;273
Tristan Boyer;1,0;6,71;103;;Q;USA;128;128;128;2;1561,0;1423,1;1753,1;0,6666666666666666;0,0;0,0714285714285714;0,4621767258651303;747,0;0,3799999999999999;0,0;163
Jaume Munar;4,6;6,54;104;;;ESP;128;128;128;60;1776,8;1612,8;1830,4;0,4166666666666667;0,0;0,2;0,2068707036003472;153,0;-0,15;0,0;339
Roman Safiullin;1,0;6,11;105;;Q;;128;128;128;25;1732,0;1617,9;1911,3;0,5833333333333334;0,5;0,3529411764705882;0,6577383886925745;718,0;0,35;0,0;282
Nicolas Mejia;1,0;6,08;106;;Q;COL;128;128;128;19;1482,5;1445,0;1582,4;0,4166666666666667;0,5;0,25;0,5788387940623474;385,0;0,35;0,0;261
Oliver Tarvet;1,0;6,03;107;;Q;GBR;128;128;128;29;1488,9;1504,2;1735,2;0,4;0,4;1,0;0,2903209821215819;551,0;0,35;1,0;22
James Duckworth;1,0;5,21;108;;;AUS;128;128;128;39;1640,1;1560,1;1785,9;0,5;0,25;0,4444444444444444;0,5763427888535098;560,0;-0,075;0,0;364
Mariano Navone;3,6;4,92;109;;;ARG;128;128;128;40;1840,2;1584,9;1875,9;0,5833333333333334;0,0;0,0833333333333333;0,8538856914707202;454,0;-0,15;0,0;254
