player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
QUENTIN HALYS;3,1;19,27;57;;;FRA;128;128;128;62;1715,2;1668,4;1811,4;0,5;0,444444444;0,692307692;0,77228335;440;0,075;1;158
JAMES DUCKWORTH;1,0;19,22;58;;;AUS;128;128;128;51;1640,1;1578,6;1785,9;0,833333333;0,9;0,769230769;-0,3;0;0,0;0;167
TERENCE ATMANE;4,7;18,95;59;;;FRA;128;128;128;55;1718,4;1635,3;1763,0;0,5;0,444444444;0,692307692;1,024135981;772;0,0;1;154
DENIS SHAPOVALOV;7,5;18,73;60;;;CAN;128;128;128;10;1771,7;1676,6;1983,2;0,333333333;0,333333333;0,857142857;0,18265198;440;-0,15;0;124
MARCO TRUNGELLITI;1,3;18,35;61;;;ARG;128;128;128;58;1644,7;1629,6;1693,1;0,5;0,571428571;1,0;0,275007278;482;-0,15;0;175
KYRIAN JACQUET;1,0;17,42;62;;Q;FRA;128;128;128;58;1663,6;1549,1;1735,1;0,666666667;0,6;1,0;-0,3;0;0,35;1;106
VIT KOPRIVA;4,5;16,99;63;;;CZE;128;128;128;4;1726,2;1692,7;1760,5;0,583333333;0,538461538;1,0;0,563225119;790;0,03;0;166
LORENZO SONEGO;4,5;16,96;64;;;ITA;128;128;128;43;1714,9;1632,5;1895,3;0,285714286;0,2;1,0;0,34268258;612;-0,15;0;125
SEBASTIAN BAEZ;3,4;15,66;65;;;ARG;128;128;128;18;1759,5;1718,4;1941,4;0,333333333;0,4;0,909090909;1,391309831;606;-0,03;0;137
ROMAN ANDRES BURRUCHAGA;1,5;15,59;66;;;ARG;128;128;128;18;1724,2;1700,5;1764,5;0,583333333;0,636363636;0,916666667;4,714404324;1846;0,0;0;176
VALENTIN ROYER;2,4;15,42;67;;;FRA;128;128;128;47;1649,7;1610,4;1800,2;0,583333333;0,571428571;0,933333333;0,281165182;399;-0,05;1;167
MATTIA BELLUCCI;2,5;14,87;68;;;ITA;128;128;128;62;1729,6;1614,5;1814,3;0,5;0,538461538;0,8125;1,459976975;703;0,03;0;170
JAIME FARIA;2,5;14,29;69;;Q;POR;128;128;128;10;1696,2;1667,8;1718,2;0,75;0,7;1,0;2,677223199;1539;0,4;0;135
FABIAN MAROZSAN;3,8;14,08;70;;;HUN;128;128;128;38;1751,5;1699,3;1867,2;0,416666667;0,5;0,909090909;0,22745223;553;-0,05;0;131
TALLON GRIEKSPOOR;6,8;13,71;71;29,0;;NED;128;128;128;13;1789,5;1725,8;1951,8;0,416666667;0,333333333;1,0;1,081330277;687;0,0;0;143
ADOLFO DANIEL VALLEJO;1,0;13,48;72;;;PAR;128;128;128;21;1754,6;1715,5;1780,4;0,666666667;0,666666667;1,0;2,370826684;1134;0,05;0;147
STAN WAWRINKA;1,6;13,45;73;;;SUI;128;128;128;60;1677,9;1612,5;2145,5;0,333333333;0,166666667;1,0;0,058584191;218;-0,05;0;101
