player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Aleksandar Kovacevic;3,0;11,97;69;;LL;USA;128;128;128;44;1627,7;1558,8;1758,8;0,3333333333333333;0,25;0,5;0,6089493740153337;363,0;-0,25;0,0;219;aleksandar kovacevic;0;0,0;95
Tomas Machac;7,0;11,79;70;;;CZE;128;128;128;31;1865,9;1782,8;1972,7;0,5;0,5555555555555556;0,8181818181818182;1,1326333380263007;974,0;0,0299999999999999;0,0;201;tomas machac;1;25,0;95
Jacob Fearnley;2,5;10,13;71;;Q;GBR;128;128;128;34;1691,8;1644,2;1910,0;0,3333333333333333;0,0;0,0;-0,3;0,0;0,35;0,0;116;jacob fearnley;0;0,0;95
Francesco Maestrelli;1,0;10,07;72;;WC;ITA;128;128;128;14;1497,1;1437,9;1711,4;0,25;0,0;0,5;0,4414737798634249;424,0;-0,0999999999999999;1,0;192;francesco maestrelli;0;0,0;95
Jaume Munar;4,6;9,57;73;;;ESP;128;128;128;50;1764,0;1695,2;1830,4;0,5;0,3333333333333333;1,0;0,1252246468900344;213,0;-0,05;0,0;191;jaume munar;0;0,0;95
Mattia Bellucci;2,9;9,4;74;;;ITA;128;128;128;22;1720,3;1609,8;1814,3;0,5;0,5;0,5263157894736842;1,273850921570376;913,0;-0,075;1,0;224;mattia bellucci;2;50,0;95
Sebastian Ofner;1,6;9,14;75;;;AUT;128;128;128;2;1699,2;1660,9;1812,7;0,5833333333333334;0,6;1,0;0,9259675823677768;660,0;0,0;0,0;196;sebastian ofner;1;25,0;95
Jenson Brooksby;3,4;9,03;77;;;USA;128;128;128;55;1725,6;1623,0;2005,3;0,25;0,0;0,4;-0,1366666666666666;98,0;-0,15;0,0;70;jenson brooksby;0;0,0;95
Terence Atmane;4,8;7,64;78;;;FRA;128;128;128;26;1697,2;1624,8;1763,0;0,5;0,5;0,5;0,7399311113371991;631,0;0,0;0,0;210;terence atmane;1;25,0;95
Marton Fucsovics;3,7;7,6;79;;;HUN;128;128;128;47;1770,5;1693,3;1924,2;0,4166666666666667;0,0;0,2857142857142857;0,0346485991106764;229,0;-0,15;0,0;180;marton fucsovics;0;0,0;95
Tallon Griekspoor;6,5;7,17;80;29,0;;NED;128;128;128;61;1774,1;1718,1;1951,8;0,5;0,2;1,0;0,447890414843111;568,0;-0,05;0,0;201;tallon griekspoor;0;0,0;95
Francisco Comesana;2,7;6,39;81;;Q;ARG;128;128;128;39;1667,4;1639,7;1761,9;0,25;0,3333333333333333;0,75;0,6314737948319942;710,0;0,1999999999999999;0,0;209;francisco comesana;0;0,0;95
Denis Shapovalov;7,4;6,37;82;;;CAN;128;128;128;18;1761,8;1671,7;1983,2;0,4166666666666667;0,4;0,5555555555555556;0,29480897631815;443,0;0,0;0,0;149;denis shapovalov;0;0,0;95
Alexei Popyrin;3,0;6,15;83;;;AUS;128;128;128;3;1735,5;1723,8;1902,2;0,3333333333333333;0,4;0,7142857142857143;0,1014143423872658;469,0;-0,15;0,0;172;alexei popyrin;2;50,0;95
Lorenzo Sonego;4,3;5,84;84;;;ITA;128;128;128;6;1735,1;1644,4;1895,3;0,375;0,25;1,0;0,9936125751981358;511,0;-0,075;1,0;185;lorenzo sonego;0;0,0;95
Cristian Garin;2,0;5,34;85;;Q;CHI;128;128;128;11;1666,9;1658,7;1889,6;0,4166666666666667;0,5555555555555556;0,8181818181818182;1,8427446254136088;1145,0;0,32;0,0;197;cristian garin;1;25,0;95
Dalibor Svrcina;1,0;5,13;86;;Q;CZE;128;128;128;10;1620,7;1561,4;1712,9;0,5833333333333334;0,75;0,5333333333333333;2,2770041411723354;918,0;0,3999999999999999;0,0;191;dalibor svrcina;0;0,0;95
Gianluca Cadenasso;1,0;5,12;87;;WC;ITA;128;128;128;27;1521,7;1496,8;1578,5;0,6666666666666666;0,6428571428571429;1,0;1,6001317546053304;738,0;0,0999999999999999;1,0;33;gianluca cadenasso;0;0,0;95
Nikoloz Basilashvili;2,1;4,07;88;;Q;;128;128;128;15;1640,9;1605,0;1889,8;0,5;0,5;0,5555555555555556;1,122393000208691;690,0;0,32;0,0;144;nikoloz basilashvili;3;75,0;95
Nuno Borges;5,8;3,67;89;;;POR;128;128;128;51;1779,1;1732,7;1843,6;0,3333333333333333;0,375;0,6153846153846154;1,4865633142375838;805,0;0,0;0,0;209;nuno borges;1;25,0;95
Valentin Royer;2,4;2,84;90;;;FRA;128;128;128;19;1647,6;1611,4;1800,2;0,5833333333333334;0,6153846153846154;0,7647058823529411;1,155455580696072;1152,0;0,0;0,0;183;valentin royer;0;0,0;95
Daniel Altmaier;4,6;2,02;91;;;GER;128;128;128;63;1724,1;1689,2;1789,1;0,5833333333333334;0,5833333333333334;0,8571428571428571;0,2645289095346614;702,0;-0,05;0,0;217;daniel altmaier;1;25,0;95
Aleksandar Vukic;1,0;1,24;92;;;AUS;128;128;128;58;1653,1;1527,0;1773,3;0,1666666666666666;0,0;0,4545454545454545;0,4037889428596268;435,0;-0,15;0,0;235;aleksandar vukic;1;25,0;95
BYE;0,0;0,0;93;;;;128;128;128;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
BYE;0,0;0,0;93;;;;128;128;128;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
BYE;0,0;0,0;93;;;;128;128;128;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
BYE;0,0;0,0;93;;;;128;128;128;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
BYE;0,0;0,0;93;;;;128;128;128;9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
BYE;0,0;0,0;93;;;;128;128;128;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0,0;95
