player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
MARTON FUCSOVICS;3,9;6,9;78;;;HUN;128;128;128;38;1755,6;1685,9;1924,2;0,3333333333333333;0,0;0,4;0,2992710416784835;463,0;-0,05;0,0;127;marton fucsovics;95;0;0,0
ALEXEI POPYRIN;3,2;6,44;79;;;AUS;128;128;128;59;1754,5;1733,3;1902,2;0,3333333333333333;0,5714285714285714;0,7777777777777778;0,4924026347141722;339,0;-0,15;0,0;118;alexei popyrin;95;0;0,0
DANIEL ALTMAIER;3,4;6,42;80;;;GER;128;128;128;43;1736,3;1694,1;1789,1;0,5833333333333334;0,5;0,5714285714285714;2,032157671917601;949,0;0,0499999999999999;0,0;167;daniel altmaier;95;0;0,0
FRANCISCO COMESANA;2,7;6,03;81;;;ARG;128;128;128;6;1694,8;1656,0;1761,9;0,5833333333333334;0,5833333333333334;1,0;0,129170543810232;737,0;0,0;0,0;156;francisco comesana;95;0;0,0
MARCOS GIRON;2,1;5,75;82;;;USA;128;128;128;42;1736,0;1612,8;1874,1;0,3333333333333333;0,375;0,5;3,4133403264708533;1174,0;-0,05;0,0;145;marcos giron;95;0;0,0
ROBERTO BAUTISTA AGUT;1,3;4,92;83;;;ESP;128;128;128;7;1700,2;1639,7;2033,8;0,3333333333333333;0,375;0,7272727272727273;0,3326490740952309;533,0;-0,05;1,0;129;roberto bautista agut;95;0;0,0
ADAM WALTON;3,4;4,87;84;;;AUS;128;128;128;58;1691,8;1537,4;1747,1;0,75;0,3333333333333333;0,15;1,8892054335808968;1220,0;0,075;0,0;187;adam walton;95;1;25,0
GRIGOR DIMITROV;3,8;4,08;85;;;BUL;128;128;128;54;1753,9;1659,5;2111,5;0,3333333333333333;0,0;0,4285714285714285;0,7289155333405252;317,0;0,075;0,0;111;grigor dimitrov;95;0;0,0
VILIUS GAUBAS;1,0;3,85;86;;Q;;128;128;128;47;1569,3;1518,3;1718,5;0,4166666666666667;0,3;1,0;0,0113454862016288;472,0;0,1999999999999999;0,0;157;vilius gaubas;95;1;25,0
JESPER DE JONG;1,0;3,53;87;;;NED;128;128;128;15;1707,0;1701,5;1741,0;0,8333333333333334;0,7368421052631579;1,0;1,1153289660648955;1446,0;0,1;0,0;176;jesper de jong;95;0;0,0
PATRICK KYPSON;1,0;2,88;88;;LL;USA;128;128;128;34;1640,5;1554,7;1732,4;0,3333333333333333;0,5;1,0;-0,3;0,0;-0,2;0,0;124;patrick kypson;95;0;0,0
CRISTIAN GARIN;2,0;2,63;89;;LL;CHI;128;128;128;46;1666,9;1658,7;1889,6;0,4166666666666667;0,4444444444444444;1,0;-0,2454368281376408;114,0;-0,2;0,0;138;cristian garin;95;0;0,0
VALENTIN ROYER;2,4;2,39;90;;;FRA;128;128;128;26;1649,7;1610,4;1800,2;0,3333333333333333;0,375;0,8888888888888888;0,4928308348844082;579,0;-0,15;0,0;173;valentin royer;95;0;0,0
ADRIAN MANNARINO;1,9;2,32;91;;;FRA;128;128;128;22;1679,6;1490,8;1896,3;0,3333333333333333;0,0;0,3636363636363636;2,645684493339584;976,0;0,0;0,0;154;adrian mannarino;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;40;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;59;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;60;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;61;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
BYE;0,0;0,0;92;;;;128;128;128;64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;95;0;0,0
